ITEM,COMMENT,SPACE,POS_NEG,CR,ID,PRINT,RATE1,RATE2,RATE3,RATE4,FREQUENCY,FREQ_2,FREQ_3,FREQ_4,FREQ_5,FREQ_6
"Delawarr, Liver, Organ","Note Eb#, Ab#",,"+",,69,0,0.00000000e+00,2.90000000e+01,,,3.17829987e+02,1.98000000e+02,,,,
"Skeletal, Body, Head, Skull, Temple Area, Organ",,,,,70,0,0.00000000e+00,3.00000000e+01,,,,,,,,
"Brain, Temporal Lobe Cortex, Colon, Auditory Receptive  Areas","With Depression Check Need to Increase  Serotonin, Or Decrease Melatonin, Noradrenaline, Area of Memory",,,,71,0,0.00000000e+00,3.00000000e+01,,,,,,,,
"Antibodies, Pathogenic Vibrations, Protein Receptors",,,,,72,0,0.00000000e+00,3.05000000e+01,,,,,,,,
"Tissue, Connective",,,,,74,0,0.00000000e+00,3.10000000e+01,,,,,,,,
"Delawarr, Stomach, Organ","Note A#",,"+",,76,0,0.00000000e+00,3.20000000e+01,,,1.10000000e+02,2.00000000e+01,,,,
"Delawarr, Respiratory System, Paranasal Sinuses, Maxillary",,,"+",,78,0,0.00000000e+00,3.30000000e+01,,,,,,,,
"Brain, Cerebrum, Organ","Should Equal G V, With Depression Check Need To Increase Enkephalins, Or Decrease Noradrenaline, Main Area of Brain, Should be High in Amino Acid Carnitine",,,,80,0,0.00000000e+00,3.40000000e+01,,,2.00000000e+01,2.00000000e+03,,,,
"Delawarr, Pancreas, Organ","Note C#, Check Chromium Balance for Proper Function",,"+",,81,0,0.00000000e+00,3.40000000e+01,,,1.17300003e+02,1.50000000e+01,,,,
"Respiratory, Nose, Nasal Passages",,,,,82,0,0.00000000e+00,3.45000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Gall Bladder & Biliary Ducts, Gall Bladder, Organ","Note E#, Balance 13.00-64.00",,"+",,83,0,0.00000000e+00,3.50000000e+01,,,1.64300003e+02,3.30000000e+02,,,,
"Delawarr, Eyes, Eyeball, Vascular Coat, Choroid",,,"+",,85,0,0.00000000e+00,3.65000000e+01,,,2.00000000e+01,,,,,
"Throat, Esophagus, Organ",,,,,86,0,0.00000000e+00,3.70000000e+01,,,,,,,,
"Delawarr, Stomach, Pylorus",,,"+",,88,0,0.00000000e+00,3.80000000e+01,,,2.00000000e+01,,,,,
"Brain, Hind, Medulla Oblongata",,,,,89,0,0.00000000e+00,3.85000000e+01,,,2.00000000e+01,2.00000000e+03,,,,
"Brain, Fore, Thalamus",,,,,90,0,0.00000000e+00,3.85000000e+01,,,,,,,,
"Glands, Parotid","To Help Control Infections",,,,91,0,0.00000000e+00,3.90000000e+01,,,,,,,,
"Delawarr, Muscular Structure, Muscular Tissue","Balance 55.00-49.50 Indefinitely To Lower",,"+",,93,0,0.00000000e+00,4.10000000e+01,,,,,,,,
"Cyst",,,,,94,0,0.00000000e+00,4.20000000e+01,,,7.50000000e+01,,,,,
"Muscle, Sheath, Covering Structure of Connective Tissue",,,,,95,0,0.00000000e+00,4.20000000e+01,,,2.00000000e+01,2.40000000e+02,,,,
"Delawarr, Skin, Hair & Nails, Epidermis",,,"+",,96,0,0.00000000e+00,4.20000000e+01,,,,,,,,
"Tissue, Subcutaneous",,,,,97,0,0.00000000e+00,4.20000000e+01,,,,,,,,
"Delawarr, Large Intestine, Anus",,,"+",,98,0,0.00000000e+00,4.25000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Delawarr, Muscular Structure, Muscular Tissue, Muscle Sheath","Note E#, Sphincter",,"+",,99,0,0.00000000e+00,4.25000000e+01,,,3.24000000e+02,2.00000000e+01,2.40000000e+02,,,
"Delawarr, Mouth, Nose & Throat, Pharynx, Epiglottis, Thin Triangular Lidlike Piece of Cartilage","that Folds Back Over the Opening of the Windpipe During Swallowing to Prevent Foreign Matter to Enter the Lungs",,"+",,100,0,0.00000000e+00,4.25000000e+01,,,,,,,,
"Respiratory, Trachea, Organ",,,,,101,0,0.00000000e+00,4.25000000e+01,,,,,,,,
"Delawarr, Sinuses",,,"+",,102,0,0.00000000e+00,4.27500000e+01,,,,,,,,
"Throat, Esophagus, Vocal Cord",,,,,103,0,0.00000000e+00,4.30000000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Mouth, Tongue, Pharynx, Eustachian Tubes, Taste Buds",,,"+",,105,0,0.00000000e+00,4.35000000e+01,,,,,,,,
"Lymphatics, Lymph, Nodes",,,,,106,0,0.00000000e+00,4.40000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Delawarr, Liver, Left Lobe",,,"+",,107,0,0.00000000e+00,4.50000000e+01,,,,,,,,
"Heart, Ventricle, Third","Should Equal G V",,,,108,0,0.00000000e+00,4.50000000e+01,,,,,,,,
"Glands, Adrenal, Organ","Note B#, Balancing Beneficial For Anemia, Catarrh, Edema, Exhaustion, Mononucleosis, Multiple Sclerosis, Poisons, Shock, Toxicity, Tuberculosis",,,,110,0,0.00000000e+00,4.60000000e+01,,,4.92799988e+02,1.00000000e+01,,,,
"Delawarr, Respiratory System, Lungs, Organ","Note A#, Affected by Lyme Disease",,"+",,111,0,0.00000000e+00,4.70000000e+01,,,2.20000000e+02,9.00000000e+00,,,,
"Tongue, Important In Asthma",,,,,112,0,0.00000000e+00,4.75000000e+01,,,4.32999992e+01,,,,,
"Otorhinolaryngological Disorders, Oropharynx Disorders, Throat, Tonsils, Swallowing",,,"-",,113,0,0.00000000e+00,4.75000000e+01,,,,,,,,
"Skeletal, Body, Head, Skull, Nasal Area, Upper, Nose",,,,,115,0,0.00000000e+00,4.80000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Ear, Inner Ear, Eustachian Tubes, Slender Tube Between Middle Ear & Pharynx",,,,,116,0,0.00000000e+00,4.80000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Blood, Plasma, Volume, Organ","Note Eb#, Balance 9.00-49.00 With Caution",,"+",,117,0,0.00000000e+00,4.90000000e+01,,,3.21899994e+02,,,,,
"Hair, Roots",,,,,119,0,0.00000000e+00,5.00000000e+01,,,,,,,,
"Delawarr, Respiratory System, Paranasal Sinuses, Frontal",,,"+",,120,0,0.00000000e+00,5.00000000e+01,,,,,,,,
"Delawarr, Central Nervous System, Spinal Cord, Meninges, of Brain & Spinal Cord, Nerves",,,"+",,121,0,0.00000000e+00,5.05000000e+01,,,,,,,,
"Colon, Intestine, Small, Peyer's (Patch) Gland, Aggregated Lymphatic Nodules","Found in the Ileum of Small Intestine, Important in releasing Antibodies & Absorption of Nutrients",,,,122,0,0.00000000e+00,5.10000000e+01,,,1.00000000e+01,8.80000000e+02,2.00000000e+01,,,
"Membrane, Mucous",,,,,123,0,0.00000000e+00,5.10000000e+01,,,,,,,,
"Delawarr, Central Nervous System, Fore Brain, Hypothalamus, Nerves","Balance 22.00-0.00, 77.00-0.00, Use Higher With Care",,"+",,124,0,0.00000000e+00,5.15000000e+01,,,,,,,,
"Respiratory, Trachea","Should Equal G V",,,,126,0,0.00000000e+00,5.20000000e+01,,,,,,,,
"Delawarr, Stomach, Large Intestine, Omentum",,,"+",,127,0,0.00000000e+00,5.25000000e+01,,,2.00000000e+01,,,,,
"Ear, Balance",,,,,128,0,0.00000000e+00,5.25000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Respiratory System, Lungs, Thoracic Area, Thorax, Chest, Organ",,,"+",,130,0,0.00000000e+00,5.30000000e+01,,,9.00000000e+00,,,,,
"Delawarr, Female Genital System, Uterus, External Serous Coat",,,"+",,131,0,0.00000000e+00,5.35000000e+01,,,,,,,,
"Digestive, General, System",,,,,133,0,0.00000000e+00,5.40000000e+01,,,,,,,,
"Delawarr, Central Nervous System, Fore Brain, Thalamus","With Depression Check Need To Increase Norepinephrines In",,"+",,134,0,0.00000000e+00,5.45000000e+01,,,,,,,,
"Skeletal, Spinal, Fluid",,,,,135,0,0.00000000e+00,5.50000000e+01,,,,,,,,
"Stomach, Peritoneum, Transparent Serous Membrane Lining the Abdominal Cavity",,,,,137,0,0.00000000e+00,5.70000000e+01,,,2.00000000e+01,,,,,
"Glandular System",,,,,138,0,0.00000000e+00,5.70000000e+01,,,,,,,,
"Delawarr, Muscular Structure, Muscular Tissue, Unstriped Or Involuntary",,,"+",,139,0,0.00000000e+00,5.70000000e+01,,,,,,,,
"Delawarr, Female Genital System, Uterus, Organ",,,"+",,140,0,0.00000000e+00,5.80000000e+01,,,,,,,,
"Glands, Salivary",,,,,141,0,0.00000000e+00,5.90000000e+01,,,,,,,,
"Delawarr, Large Intestine, Cecum, Transverse Colon",,,"+",,143,0,0.00000000e+00,6.00000000e+01,,,1.00000000e+01,8.80000000e+02,2.00000000e+01,,,
"Stomach, Celiac, of or in Abdominal Cavity",,,,,144,0,0.00000000e+00,6.00000000e+01,,,2.00000000e+01,,,,,
"Tissue, Fatty Connective, Cells","Note C#, Balance 12.50-31.50 For 5 Minutes, 6.50-61.00 Several Hours",,,,145,0,0.00000000e+00,6.10000000e+01,,,2.95799988e+02,,,,,
"Delawarr, Large Intestine, Descending Colon",,,"+",,146,0,0.00000000e+00,6.20000000e+01,,,1.00000000e+01,8.80000000e+02,2.00000000e+01,,,
"Brain, Visual Activity Center In",,,,,148,0,0.00000000e+00,6.35000000e+01,,,,,,,,
"Delawarr, Eyes, Eyeball, Lacrimal Apparatus, Lacrimal Ducts",,,"+",,149,0,0.00000000e+00,6.40000000e+01,,,2.00000000e+01,,,,,
"Skeletal, Bone, Cribriform Area, Ethmoid",,,,,150,0,0.00000000e+00,6.45000000e+01,,,,,,,,
"Delawarr, Large Intestine, Vermiform Appendix, Organ","Balance For Intestinal Gas (Flatulence), Typhoid Fever,  Exanthematous Viral & Respiratory Viral Diseases, Malaria, Thyroid Imbalances, Eczema",,"+",,152,0,0.00000000e+00,6.60000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Nerves, Solar Plexus",,,,,153,0,0.00000000e+00,6.60000000e+01,,,,,,,,
"Delawarr, Urinary System, Ureters, Organ",,,"+",,154,0,0.00000000e+00,6.70000000e+01,,,,,,,,
"Delawarr, Circulatory System, Veins",,,"+",,156,0,0.00000000e+00,6.90000000e+01,,,,,,,,
"Delawarr, Heart, Organ","Amino Acid Carnitine Highest providing fat oxidation which results in more energy",,"+",,158,0,0.00000000e+00,7.00000000e+01,,,2.00000000e+01,1.62000000e+02,,,,
"Brain, Scalp, Arteries",,,,,159,0,0.00000000e+00,7.05000000e+01,,,,,,,,
"Diseases, Bacterial, Gram-Negative, Whooping Cough, Pertussis","Balance Acid/Alkaline & Sodium/Chloride",,"-",,161,0,0.00000000e+00,7.15000000e+01,,,5.26000000e+02,7.65000000e+02,,,,
"Throat, Larynx, Glottis In",,,,,162,0,0.00000000e+00,7.15000000e+01,,,,,,,,
"Urinary, Kidneys, Tubules, Right",,,,,163,0,0.00000000e+00,7.20000000e+01,,,8.00000000e+00,8.80000000e+02,,,,
"Respiratory, Lungs, Lower",,,,,165,0,0.00000000e+00,7.40000000e+01,,,9.00000000e+00,,,,,
"Colon, Diverticulum","Balance 43.00-53.00 For 10 Minutes",,,,166,0,0.00000000e+00,7.50000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Male Genital System, Penis",,,"+",,167,0,0.00000000e+00,7.65000000e+01,,,,,,,,
"Delawarr, Spleen & Thymus, Ductless Glands, Thymus, Organ","Trains or Modifies T-Cells which regulate the humoral immune system",,"+",,168,0,0.00000000e+00,7.70000000e+01,,,2.00000000e+01,,,,,
"Delawarr, Large Intestine, Hepatic Flexure",,,"+",,169,0,0.00000000e+00,7.80000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Delawarr, Central Nervous System, Fore Brain","With Depression Check Need to Increase Serotonin, Main Area of Brain",,"+",,170,0,0.00000000e+00,7.85000000e+01,,,,,,,,
"Eyes, Lid Lining, Bacteria, Staph, Styes",,,,,171,0,0.00000000e+00,7.90000000e+01,,,4.32449989e+01,2.00000000e+01,,,,
"Delawarr, Small Intestine, Organ",,,"+",,174,0,0.00000000e+00,8.20000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Delawarr, Urinary System, Kidneys, Organ","Balance for Arsenic, D D T, Earache, Edema, Flu, Meningococcus, Migraines, Nausea, Poisons, Polio, Scar Tissue, Sniffles",,"+",,175,0,0.00000000e+00,8.20000000e+01,,,8.00000000e+00,8.80000000e+02,,,,
"Delawarr, Central Nervous System, Brain Areas, Association Area, Frontal",,,"+",,176,0,0.00000000e+00,8.27500000e+01,,,,,,,,
"Stomach, Part Of",,,,,178,0,0.00000000e+00,8.40000000e+01,,,2.00000000e+01,,,,,
"Membrane Of Corti",,,,,179,0,0.00000000e+00,8.50000000e+01,,,,,,,,
"Delawarr, Skin, Hair & Nails, Hair Follicle",,,"+",,180,0,0.00000000e+00,8.50000000e+01,,,,,,,,
"Reproductive, Labia Majora, Outer Folds of Skin of the Vulva",,,,,181,0,0.00000000e+00,8.60000000e+01,,,,,,,,
"Delawarr, Ductless Glands, Pituitary Body","With Depression Check Need to Increase Enkephalins, Serotonin",,"+",,184,0,0.00000000e+00,8.70000000e+01,,,,,,,,
"Eyes, Turbidity Of Fluid",,,,,185,0,0.00000000e+00,8.75000000e+01,,,2.00000000e+01,,,,,
"Stomach, Lining",,,,,186,0,0.00000000e+00,8.80000000e+01,,,2.00000000e+01,,,,,
"Delawarr, Central Nervous System, Fore Brain, Hypothalamus",,,"+",,189,0,0.00000000e+00,9.05000000e+01,,,,,,,,
"Dermatologic, Skin, Derma, Nerve Endings",,,,,190,0,0.00000000e+00,9.10000000e+01,,,,,,,,
"Delawarr, Ductless Glands, Parathyroid Gland",,,"+",,191,0,0.00000000e+00,9.20000000e+01,,,,,,,,
"Colon, Duodenum","Balance 16.00-25.00 if Insect Stings, Migraines, Parathion, Poisons (Arsenic), D D T, Acidity in Burns, or Lindane is found in",,,,193,0,0.00000000e+00,9.40000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Fever","Check Infections In Spleen",,,,194,0,0.00000000e+00,9.50000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Spleen & Thymus, Spleen, Organ",,,"+",,195,0,0.00000000e+00,9.50000000e+01,,,2.00000000e+01,,,,,
"Delawarr, Circulatory System, Veins",,,"+",,197,0,0.00000000e+00,9.70000000e+01,,,,,,,,
"Dermatologic, Skin, Epididymis","Small oblong body resting  upon & beside the posterior surface of the testes",,,,198,0,0.00000000e+00,9.70000000e+01,,,,,,,,
"Delawarr, Ductless Glands, Thyroid Gland",,,"+",,199,0,0.00000000e+00,9.80000000e+01,,,2.00000000e+01,1.60000000e+02,,,,
"Membranes",,,,,200,0,0.00000000e+00,9.95000000e+01,,,,,,,,
"Implant Mechanism, ( 8) Aging",,,,,202,0,2.50000000e-01,1.87500000e+01,3.17500000e+01,2.82500000e+01,,,,,,
"Emotion, Schizophrenia","Balance 5.00-91.00",,,,203,0,2.50000000e-01,4.22500000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Mouth, Tongue, Circumvallate Papillae",,,"+",,204,0,4.00000006e-01,2.45000000e+01,,,,,,,,
"Viral Diseases, Respiratory Viral Diseases, Influenza",,,"-",,205,0,5.00000000e-01,0.00000000e+00,,,4.32999992e+01,,,,,
"Sleep",,,,,206,0,5.00000000e-01,4.00000000e+00,,,,,,,,
"Chemical, Pollutant, Bicarbonate",,,,,208,0,5.00000000e-01,1.15000000e+01,,,,,,,,
"Drug, Librium",,,,,209,0,5.00000000e-01,2.05000000e+01,,,,,,,,
"Neurologic Disorders, Neurologic Disorders, Common, Dizziness","Used For",,"-",,211,0,1.00000000e+00,4.00000000e+00,,,,,,,,
"Teotihuacan, Energy, Ceremony of Seasons",,,,,212,0,1.00000000e+00,4.00000000e+00,,,,,,,,
"Psychiatric Disorders, Fatigue","Check Adrenals & Thyroid, Balance 51.00-22.50 for 10 Minutes or 35.00-9.00 for long periods, Use 17.00-29.00 for Energy, 89.00-70.00  for 2 minutes",,"-",,213,0,1.00000000e+00,4.00000000e+00,,,,,,,,
"Toxins, Asbestos",,,,,215,0,1.00000000e+00,6.50000000e+00,,,,,,,,
"Parasites, Worms",,,,,216,0,1.00000000e+00,1.12500000e+01,,,6.00000000e+01,1.25000000e+02,,,,
"Emotion, Aqueous Humor",,,,,217,0,1.00000000e+00,1.80000000e+01,,,,,,,,
"Delawarr, Central Nervous System, Cranial Nerves, Spinal Or Peripheral Nerves, Cervical 8 Pairs",,,"+",,218,0,1.00000000e+00,2.10000000e+01,,,,,,,,
"Glands, Pineal","With Depression Check Need to Increase Melatonin, Noradrenaline, Serotonin Or Decrease Dopamine, Will Be Low for Nervous Conditions",,,,219,0,1.00000000e+00,2.80000000e+01,,,2.00000000e+01,5.00000000e+03,,,,
"Respiratory, Lungs, Pulmonary Nerves",,,,,222,0,1.00000000e+00,3.90000000e+01,,,9.00000000e+00,,,,,
"Gastrointestinal Disorders, Peritonitis, Gnawing, Boring, Increased by Movement, Breathing or","Coughing Pain",,"-",,223,0,1.00000000e+00,4.00000000e+01,,,,,,,,
"Blood, Building Rate, Electrical Potential","Balance After Clearing All Problems",,,,224,0,1.00000000e+00,4.90000000e+01,,,,,,,,
"Nutritional & Metabolic Disorders, Undernutrition",,,"-",,226,0,1.00000000e+00,6.10000000e+01,,,,,,,,
"Index, Viral Diseases",,,"-",,227,0,1.00000000e+00,6.50000000e+01,,,,,,,,
"Musculoskeletal & Connective Tissue Disorders, Chondrocalcinosis, Oxidation of Cartilage",,,"-",,228,0,1.00000000e+00,7.50000000e+01,,,,,,,,
"Poisoning, General Chemical, Used For",,,,,229,0,1.00000000e+00,9.90000000e+01,,,,,,,,
"Virus, Mosaic, From Mosquito",,,,,230,0,1.24000001e+00,7.50000000e-01,,,,,,,,
"Neurologic Disorders, Muscular Atrophies & Dystrophy's, Muscular Dystrophy","Balance 1.50-41.00, 2.50-29.50",,"-",,231,0,1.50000000e+00,0.00000000e+00,,,1.53000000e+02,,,,,
"Face, Sore On",,,,,232,0,1.50000000e+00,5.00000000e-01,,,,,,,,
"Planetary, Unknown SSS",,,,,233,0,1.50000000e+00,7.00000000e+00,,,,,,,,
"Poisoning, General Chemical, Trithion",,,,,234,0,1.50000000e+00,1.25000000e+01,,,,,,,,
"Respiratory, Bronchial Plexus",,,,,235,0,1.50000000e+00,3.57500000e+01,,,,,,,,
"Drug, Penicillin, Antibiotic","Useful with Anthrax",,,,236,0,1.50000000e+00,3.65000000e+01,,,,,,,,
"Weight, Fat",,,,,237,0,1.50000000e+00,3.70000000e+01,,,,,,,,
"Neurologic Disorders, Muscular Atrophies & Dystrophy's, Muscular Dystrophy","Used For",,"-",,238,0,1.50000000e+00,4.10000000e+01,,,1.53000000e+02,,,,,
